,type,lon,lat
1356,Traditional French restaurant,2.367,48.872
1357,Traditional French restaurant,2.352,48.859
1358,Asian restaurant,2.35,48.858
1359,Traditional French restaurant,2.351,48.861
1360,Traditional French restaurant,2.354,48.855
1361,Asian restaurant,2.364,48.821
1362,European restuarant,2.35,48.873
1363,Traditional French restaurant,2.373,48.852
1364,Asian restaurant,2.372,48.848
1365,Asian restaurant,2.373,48.847
1366,Traditional French restaurant,2.392,48.841
1367,European restuarant,2.39,48.842
1368,European restuarant,2.34,48.881
1369,Traditional French restaurant,2.328,48.876
1370,Asian restaurant,2.346,48.874
1371,Asian restaurant,2.346,48.875
1372,Traditional French restaurant,2.346,48.875
1373,Asian restaurant,2.348,48.876
1374,Traditional French restaurant,2.347,48.876
1375,European restuarant,2.342,48.876
1376,Traditional French restaurant,2.341,48.876
1377,Traditional French restaurant,2.345,48.873
1378,Traditional French restaurant,2.345,48.873
1379,Maghrebian restaurant,2.346,48.874
1380,Central and South American restuarant,2.34,48.877
1381,Traditional French restaurant,2.326,48.878
1382,Asian restaurant,2.328,48.878
1383,Asian restaurant,2.329,48.879
1384,Traditional French restaurant,2.329,48.883
1385,European restuarant,2.328,48.883
1386,Asian restaurant,2.315,48.874
1387,Asian restaurant,2.361,48.855
1388,Traditional French restaurant,2.358,48.856
1389,Traditional French restaurant,2.357,48.856
1390,Asian restaurant,2.357,48.856
1391,European restuarant,2.356,48.857
1392,Traditional French restaurant,2.355,48.857
1393,Asian restaurant,2.355,48.857
1394,Traditional French restaurant,2.356,48.858
1395,Other world restaurant,2.358,48.858
1396,Traditional French restaurant,2.358,48.857
1397,Other world restaurant,2.358,48.858
1398,Other world restaurant,2.359,48.858
1399,Other world restaurant,2.359,48.856
1400,European restuarant,2.359,48.856
1401,Asian restaurant,2.324,48.846
1402,Asian restaurant,2.321,48.845
1403,Asian restaurant,2.319,48.846
1404,Indian / Middle Eastern restaurant,2.328,48.845
1405,Indian / Middle Eastern restaurant,2.328,48.845
1406,Other world restaurant,2.321,48.849
1407,European restuarant,2.387,48.841
1408,Traditional French restaurant,2.386,48.835
1409,Asian restaurant,2.386,48.835
1410,Asian restaurant,2.383,48.838
1411,European restuarant,2.387,48.837
1412,Asian restaurant,2.381,48.839
1413,Traditional French restaurant,2.373,48.844
1414,Asian restaurant,2.379,48.845
1415,Asian restaurant,2.377,48.845
1416,Traditional French restaurant,2.382,48.845
1417,Traditional French restaurant,2.35,48.828
1418,Traditional French restaurant,2.349,48.827
1419,Asian restaurant,2.369,48.835
1420,European restuarant,2.369,48.834
1421,Asian restaurant,2.358,48.828
1422,Asian restaurant,2.357,48.83
1423,Asian restaurant,2.359,48.826
1424,Asian restaurant,2.361,48.823
1425,Traditional French restaurant,2.314,48.877
1426,Traditional French restaurant,2.314,48.877
1427,Asian restaurant,2.326,48.873
1428,Maghrebian restaurant,2.317,48.875
1429,European restuarant,2.32,48.875
1430,European restuarant,2.322,48.876
1431,Traditional French restaurant,2.321,48.876
1432,Asian restaurant,2.36,48.856
1433,Traditional French restaurant,2.363,48.856
1434,Central and South American restuarant,2.367,48.856
1435,Traditional French restaurant,2.367,48.853
1436,Asian restaurant,2.357,48.865
1437,Maghrebian restaurant,2.357,48.865
1438,European restuarant,2.328,48.849
1439,Other world restaurant,2.331,48.853
1440,Maghrebian restaurant,2.371,48.853
1441,Traditional French restaurant,2.384,48.846
1442,European restuarant,2.383,48.847
1443,European restuarant,2.382,48.85
1444,Traditional French restaurant,2.381,48.85
1445,Maghrebian restaurant,2.377,48.848
1446,Asian restaurant,2.376,48.849
1447,Traditional French restaurant,2.377,48.851
1448,Asian restaurant,2.362,48.822
1449,Asian restaurant,2.362,48.822
1450,Maghrebian restaurant,2.342,48.826
1451,Asian restaurant,2.365,48.819
1452,Asian restaurant,2.361,48.825
1453,Asian restaurant,2.361,48.825
1454,Indian / Middle Eastern restaurant,2.32,48.88
1455,Asian restaurant,2.335,48.88
1456,European restuarant,2.337,48.88
1457,Indian / Middle Eastern restaurant,2.337,48.88
1458,Asian restaurant,2.358,48.864
1459,Traditional French restaurant,2.358,48.863
1460,Traditional French restaurant,2.362,48.862
1461,Asian restaurant,2.364,48.862
1462,European restuarant,2.363,48.864
1463,European restuarant,2.363,48.864
1464,Traditional French restaurant,2.363,48.864
1465,European restuarant,2.363,48.864
1466,European restuarant,2.363,48.865
1467,Traditional French restaurant,2.372,48.855
1468,Asian restaurant,2.377,48.853
1469,European restuarant,2.379,48.851
1470,European restuarant,2.382,48.854
1471,Indian / Middle Eastern restaurant,2.383,48.851
1472,Traditional French restaurant,2.383,48.856
1473,European restuarant,2.382,48.855
1474,Asian restaurant,2.376,48.85
1475,Traditional French restaurant,2.371,48.846
1476,Asian restaurant,2.37,48.847
1477,Traditional French restaurant,2.371,48.847
1478,Traditional French restaurant,2.37,48.847
1479,European restuarant,2.37,48.853
1480,Traditional French restaurant,2.379,48.849
1481,Asian restaurant,2.37,48.846
1482,European restuarant,2.373,48.837
1483,Asian restaurant,2.36,48.839
1484,Indian / Middle Eastern restaurant,2.357,48.838
1485,European restuarant,2.355,48.838
1486,Asian restaurant,2.355,48.838
1487,European restuarant,2.353,48.837
1488,Asian restaurant,2.355,48.834
1489,European restuarant,2.366,48.834
1490,Asian restaurant,2.36,48.826
1491,Asian restaurant,2.366,48.823
1492,Asian restaurant,2.365,48.827
1493,Asian restaurant,2.363,48.823
1494,Asian restaurant,2.363,48.824
1495,Traditional French restaurant,2.359,48.835
1496,Indian / Middle Eastern restaurant,2.375,48.83
1497,Indian / Middle Eastern restaurant,2.337,48.878
1498,Traditional French restaurant,2.338,48.878
1499,European restuarant,2.337,48.877
1500,European restuarant,2.337,48.878
1501,Asian restaurant,2.328,48.876
1502,Traditional French restaurant,2.329,48.881
1503,Asian restaurant,2.329,48.882
1504,Indian / Middle Eastern restaurant,2.331,48.879
1505,Traditional French restaurant,2.333,48.877
1506,European restuarant,2.332,48.878
1507,Traditional French restaurant,2.364,48.867
1508,European restuarant,2.362,48.867
1509,Other world restaurant,2.363,48.865
1510,European restuarant,2.366,48.862
1511,Traditional French restaurant,2.35,48.868
1512,Indian / Middle Eastern restaurant,2.38,48.854
1513,Asian restaurant,2.375,48.855
1514,Asian restaurant,2.374,48.853
1515,Asian restaurant,2.374,48.853
1516,Indian / Middle Eastern restaurant,2.372,48.854
1517,Traditional French restaurant,2.372,48.853
1518,Asian restaurant,2.377,48.856
1519,European restuarant,2.378,48.857
1520,European restuarant,2.358,48.835
1521,Traditional French restaurant,2.307,48.859
1522,Traditional French restaurant,2.308,48.858
1523,Traditional French restaurant,2.308,48.859
1524,Traditional French restaurant,2.309,48.861
1525,Indian / Middle Eastern restaurant,2.309,48.861
1526,European restuarant,2.308,48.86
1527,Asian restaurant,2.306,48.861
1528,Traditional French restaurant,2.306,48.86
1529,European restuarant,2.303,48.856
1530,Traditional French restaurant,2.369,48.833
1531,European restuarant,2.372,48.829
1532,Asian restaurant,2.372,48.828
1533,Asian restaurant,2.368,48.824
1534,Traditional French restaurant,2.372,48.825
1535,Traditional French restaurant,2.356,48.822
1536,European restuarant,2.333,48.882
1537,Traditional French restaurant,2.332,48.884
1538,Traditional French restaurant,2.336,48.881
1539,European restuarant,2.337,48.877
1540,European restuarant,2.331,48.876
1541,Traditional French restaurant,2.328,48.872
1542,Traditional French restaurant,2.348,48.865
1543,Caribbean restaurant,2.348,48.865
1544,Central and South American restuarant,2.347,48.865
1545,Traditional French restaurant,2.347,48.865
1546,Traditional French restaurant,2.348,48.864
1547,Asian restaurant,2.35,48.864
1548,Asian restaurant,2.35,48.864
1549,Asian restaurant,2.35,48.864
1550,Asian restaurant,2.349,48.85
1551,European restuarant,2.35,48.851
1552,Traditional French restaurant,2.368,48.859
1553,Central and South American restuarant,2.369,48.857
1554,Traditional French restaurant,2.374,48.863
1555,Asian restaurant,2.375,48.861
1556,Asian restaurant,2.381,48.857
1557,Traditional French restaurant,2.365,48.868
1558,Traditional French restaurant,2.378,48.863
1559,Asian restaurant,2.327,48.847
1560,Traditional French restaurant,2.323,48.844
1561,Traditional French restaurant,2.32,48.846
1562,Traditional French restaurant,2.318,48.847
1563,Other world restaurant,2.324,48.848
1564,Indian / Middle Eastern restaurant,2.32,48.836
1565,Asian restaurant,2.309,48.833
1566,Traditional French restaurant,2.307,48.833
1567,Asian restaurant,2.307,48.834
1568,Traditional French restaurant,2.306,48.833
1569,European restuarant,2.306,48.834
1570,European restuarant,2.304,48.834
1571,Traditional French restaurant,2.303,48.832
1572,Traditional French restaurant,2.303,48.832
1573,Traditional French restaurant,2.296,48.83
1574,European restuarant,2.303,48.832
1575,European restuarant,2.302,48.834
1576,Indian / Middle Eastern restaurant,2.297,48.832
1577,Asian restaurant,2.296,48.834
1578,Traditional French restaurant,2.334,48.872
1579,European restuarant,2.336,48.871
1580,Traditional French restaurant,2.336,48.871
1581,Asian restaurant,2.338,48.877
1582,Asian restaurant,2.335,48.873
1583,Indian / Middle Eastern restaurant,2.335,48.873
1584,Traditional French restaurant,2.335,48.874
1585,Asian restaurant,2.333,48.874
1586,Central and South American restuarant,2.35,48.85
1587,Traditional French restaurant,2.351,48.85
1588,Asian restaurant,2.353,48.85
1589,Central and South American restuarant,2.354,48.849
1590,Traditional French restaurant,2.354,48.848
1591,Asian restaurant,2.367,48.854
1592,Traditional French restaurant,2.35,48.855
1593,Indian / Middle Eastern restaurant,2.382,48.855
1594,European restuarant,2.37,48.854
1595,Traditional French restaurant,2.37,48.854
1596,Asian restaurant,2.381,48.861
1597,European restuarant,2.386,48.859
1598,Asian restaurant,2.388,48.858
1599,Asian restaurant,2.327,48.871
1600,European restuarant,2.327,48.872
1601,Asian restaurant,2.327,48.872
1602,Asian restaurant,2.343,48.873
1603,Asian restaurant,2.343,48.873
1604,Asian restaurant,2.34,48.876
1605,European restuarant,2.337,48.879
1606,Traditional French restaurant,2.291,48.832
1607,Traditional French restaurant,2.289,48.833
1608,Maghrebian restaurant,2.299,48.829
1609,European restuarant,2.282,48.835
1610,European restuarant,2.288,48.838
1611,Indian / Middle Eastern restaurant,2.287,48.838
1612,European restuarant,2.289,48.835
1613,Traditional French restaurant,2.29,48.834
1614,Traditional French restaurant,2.289,48.835
1615,Traditional French restaurant,2.289,48.835
1616,Asian restaurant,2.289,48.835
1617,Asian restaurant,2.291,48.835
1618,Asian restaurant,2.347,48.882
1619,Asian restaurant,2.346,48.881
1620,Asian restaurant,2.345,48.877
1621,Asian restaurant,2.344,48.877
1622,Asian restaurant,2.344,48.877
1623,Asian restaurant,2.346,48.878
1624,Maghrebian restaurant,2.343,48.879
1625,Traditional French restaurant,2.341,48.857
1626,Asian restaurant,2.342,48.86
1627,European restuarant,2.348,48.86
1628,Indian / Middle Eastern restaurant,2.346,48.86
1629,Central and South American restuarant,2.348,48.86
1630,Asian restaurant,2.346,48.86
1631,Traditional French restaurant,2.346,48.861
1632,Traditional French restaurant,2.345,48.861
1633,Traditional French restaurant,2.344,48.861
1634,Indian / Middle Eastern restaurant,2.343,48.861
1635,Traditional French restaurant,2.344,48.862
1636,Traditional French restaurant,2.385,48.855
1637,Other world restaurant,2.385,48.857
1638,Traditional French restaurant,2.385,48.858
1639,Asian restaurant,2.383,48.854
1640,European restuarant,2.352,48.866
1641,Maghrebian restaurant,2.353,48.869
1642,African restaurant,2.355,48.869
1643,Traditional French restaurant,2.338,48.879
1644,Traditional French restaurant,2.336,48.88
1645,European restuarant,2.337,48.878
1646,Asian restaurant,2.337,48.877
1647,Asian restaurant,2.327,48.877
1648,Asian restaurant,2.328,48.876
1649,Asian restaurant,2.328,48.876
1650,Maghrebian restaurant,2.327,48.877
1651,European restuarant,2.346,48.876
1652,European restuarant,2.348,48.875
1653,Asian restaurant,2.324,48.833
1654,Traditional French restaurant,2.322,48.834
1655,Central and South American restuarant,2.323,48.834
1656,Traditional French restaurant,2.323,48.832
1657,Traditional French restaurant,2.321,48.832
1658,Traditional French restaurant,2.323,48.83
1659,Traditional French restaurant,2.318,48.83
1660,Traditional French restaurant,2.343,48.879
1661,Asian restaurant,2.343,48.88
1662,Traditional French restaurant,2.343,48.88
1663,Indian / Middle Eastern restaurant,2.344,48.881
1664,Caribbean restaurant,2.344,48.881
1665,European restuarant,2.336,48.872
1666,Indian / Middle Eastern restaurant,2.36,48.871
1667,Traditional French restaurant,2.362,48.869
1668,Asian restaurant,2.361,48.87
1669,Asian restaurant,2.352,48.865
1670,Maghrebian restaurant,2.357,48.866
1671,Traditional French restaurant,2.358,48.867
1672,Traditional French restaurant,2.359,48.867
1673,European restuarant,2.356,48.868
1674,Asian restaurant,2.357,48.856
1675,European restuarant,2.357,48.856
1676,Asian restaurant,2.358,48.856
1677,European restuarant,2.361,48.855
1678,Asian restaurant,2.357,48.856
1679,Traditional French restaurant,2.348,48.875
1680,Traditional French restaurant,2.348,48.875
1681,European restuarant,2.347,48.877
1682,Asian restaurant,2.347,48.876
1683,Asian restaurant,2.346,48.876
1684,Asian restaurant,2.345,48.877
1685,Central and South American restuarant,2.345,48.877
1686,Traditional French restaurant,2.342,48.876
1687,Asian restaurant,2.338,48.874
1688,Indian / Middle Eastern restaurant,2.339,48.875
1689,Asian restaurant,2.34,48.878
1690,Other world restaurant,2.341,48.875
1691,Traditional French restaurant,2.316,48.828
1692,Traditional French restaurant,2.317,48.825
1693,Asian restaurant,2.316,48.828
1694,Asian restaurant,2.315,48.832
1695,European restuarant,2.294,48.842
1696,Maghrebian restaurant,2.357,48.869
1697,Traditional French restaurant,2.362,48.868
1698,Asian restaurant,2.366,48.872
1699,Asian restaurant,2.362,48.872
1700,European restuarant,2.353,48.871
1701,Asian restaurant,2.351,48.872
1702,Other world restaurant,2.358,48.867
1703,Traditional French restaurant,2.362,48.867
1704,Asian restaurant,2.361,48.868
1705,Asian restaurant,2.36,48.867
1706,Asian restaurant,2.356,48.865
1707,Asian restaurant,2.355,48.857
1708,Other world restaurant,2.361,48.856
1709,Traditional French restaurant,2.368,48.856
1710,Asian restaurant,2.365,48.858
1711,European restuarant,2.343,48.875
1712,Asian restaurant,2.343,48.874
1713,Traditional French restaurant,2.344,48.875
1714,Central and South American restuarant,2.345,48.875
1715,Indian / Middle Eastern restaurant,2.345,48.875
1716,European restuarant,2.345,48.874
1717,Asian restaurant,2.344,48.874
1718,African restaurant,2.344,48.873
1719,Traditional French restaurant,2.344,48.873
1720,Traditional French restaurant,2.343,48.872
1721,Traditional French restaurant,2.338,48.877
1722,Asian restaurant,2.338,48.877
1723,Traditional French restaurant,2.317,48.834
1724,Traditional French restaurant,2.316,48.834
1725,European restuarant,2.318,48.833
1726,European restuarant,2.319,48.836
1727,European restuarant,2.351,48.875
1728,European restuarant,2.355,48.875
1729,Indian / Middle Eastern restaurant,2.361,48.884
1730,Asian restaurant,2.347,48.874
1731,Maghrebian restaurant,2.348,48.876
1732,European restuarant,2.342,48.876
1733,Asian restaurant,2.34,48.876
1734,Asian restaurant,2.341,48.877
1735,European restuarant,2.341,48.876
1736,Asian restaurant,2.345,48.874
1737,European restuarant,2.341,48.877
1738,Asian restaurant,2.327,48.87
1739,African restaurant,2.361,48.858
1740,Traditional French restaurant,2.361,48.862
1741,Traditional French restaurant,2.361,48.862
1742,Asian restaurant,2.336,48.874
1743,European restuarant,2.336,48.874
1744,Asian restaurant,2.334,48.874
1745,Traditional French restaurant,2.333,48.874
1746,European restuarant,2.333,48.874
1747,Traditional French restaurant,2.332,48.875
1748,European restuarant,2.331,48.875
1749,Traditional French restaurant,2.332,48.875
1750,European restuarant,2.327,48.872
1751,Traditional French restaurant,2.326,48.871
1752,Traditional French restaurant,2.33,48.87
1753,Traditional French restaurant,2.31,48.857
1754,Traditional French restaurant,2.309,48.86
1755,Asian restaurant,2.309,48.86
1756,Asian restaurant,2.31,48.86
1757,Asian restaurant,2.364,48.882
1758,European restuarant,2.364,48.88
1759,Traditional French restaurant,2.349,48.877
1760,European restuarant,2.328,48.872
1761,Asian restaurant,2.333,48.872
1762,Traditional French restaurant,2.339,48.873
1763,European restuarant,2.339,48.872
1764,Traditional French restaurant,2.342,48.874
1765,Maghrebian restaurant,2.354,48.865
1766,Maghrebian restaurant,2.354,48.865
1767,European restuarant,2.352,48.863
1768,Indian / Middle Eastern restaurant,2.351,48.862
1769,European restuarant,2.352,48.862
1770,Asian restaurant,2.352,48.863
1771,Traditional French restaurant,2.35,48.861
1772,Asian restaurant,2.335,48.872
1773,Asian restaurant,2.335,48.872
1774,European restuarant,2.365,48.821
1775,Asian restaurant,2.36,48.826
1776,Asian restaurant,2.359,48.826
1777,Asian restaurant,2.361,48.822
1778,Asian restaurant,2.363,48.822
1779,Asian restaurant,2.359,48.822
1780,Asian restaurant,2.364,48.821
1781,Caribbean restaurant,2.302,48.857
1782,Asian restaurant,2.304,48.857
1783,European restuarant,2.303,48.856
1784,Traditional French restaurant,2.3,48.852
1785,Traditional French restaurant,2.297,48.854
1786,Asian restaurant,2.295,48.855
1787,Traditional French restaurant,2.299,48.859
1788,Indian / Middle Eastern restaurant,2.301,48.86
1789,Traditional French restaurant,2.303,48.857
1790,Traditional French restaurant,2.302,48.858
1791,European restuarant,2.319,48.85
1792,Asian restaurant,2.349,48.876
1793,Indian / Middle Eastern restaurant,2.35,48.876
1794,Caribbean restaurant,2.348,48.875
1795,European restuarant,2.351,48.88
1796,European restuarant,2.345,48.874
1797,Central and South American restuarant,2.344,48.873
1798,European restuarant,2.343,48.874
1799,European restuarant,2.346,48.872
1800,Other world restaurant,2.342,48.872
1801,Central and South American restuarant,2.34,48.872
1802,Traditional French restaurant,2.343,48.862
1803,Traditional French restaurant,2.342,48.862
1804,Traditional French restaurant,2.341,48.861
1805,Asian restaurant,2.355,48.864
1806,Asian restaurant,2.355,48.864
1807,Asian restaurant,2.355,48.865
1808,European restuarant,2.342,48.822
1809,Traditional French restaurant,2.355,48.826
1810,Traditional French restaurant,2.353,48.823
1811,Asian restaurant,2.357,48.823
1812,Asian restaurant,2.31,48.848
1813,European restuarant,2.311,48.852
1814,Asian restaurant,2.309,48.853
1815,Maghrebian restaurant,2.31,48.857
1816,Traditional French restaurant,2.308,48.856
1817,European restuarant,2.308,48.856
1818,Asian restaurant,2.307,48.857
1819,Asian restaurant,2.305,48.856
1820,European restuarant,2.306,48.857
1821,Traditional French restaurant,2.384,48.858
1822,Other world restaurant,2.35,48.882
1823,Asian restaurant,2.352,48.881
1824,Traditional French restaurant,2.353,48.88
1825,Asian restaurant,2.356,48.879
1826,Indian / Middle Eastern restaurant,2.357,48.879
1827,Indian / Middle Eastern restaurant,2.358,48.881
1828,Indian / Middle Eastern restaurant,2.357,48.88
1829,Indian / Middle Eastern restaurant,2.36,48.883
1830,Indian / Middle Eastern restaurant,2.36,48.883
1831,Indian / Middle Eastern restaurant,2.355,48.874
1832,Traditional French restaurant,2.34,48.862
1833,Maghrebian restaurant,2.341,48.863
1834,Asian restaurant,2.342,48.864
1835,Asian restaurant,2.349,48.863
1836,Maghrebian restaurant,2.347,48.864
1837,Asian restaurant,2.347,48.864
1838,Asian restaurant,2.336,48.868
1839,Asian restaurant,2.336,48.868
1840,Traditional French restaurant,2.338,48.869
1841,Traditional French restaurant,2.339,48.869
1842,Asian restaurant,2.337,48.871
1843,Asian restaurant,2.357,48.865
1844,Asian restaurant,2.356,48.865
1845,Asian restaurant,2.356,48.865
1846,Asian restaurant,2.353,48.828
1847,Asian restaurant,2.346,48.832
1848,Traditional French restaurant,2.346,48.835
1849,Traditional French restaurant,2.347,48.837
1850,European restuarant,2.335,48.84
1851,European restuarant,2.331,48.841
1852,Traditional French restaurant,2.332,48.841
1853,Traditional French restaurant,2.378,48.853
1854,Traditional French restaurant,2.378,48.851
1855,Traditional French restaurant,2.376,48.852
1856,Asian restaurant,2.38,48.853
1857,Asian restaurant,2.383,48.853
1858,Traditional French restaurant,2.361,48.854
1859,Indian / Middle Eastern restaurant,2.355,48.871
1860,Indian / Middle Eastern restaurant,2.355,48.871
1861,Indian / Middle Eastern restaurant,2.355,48.871
1862,Indian / Middle Eastern restaurant,2.356,48.871
1863,European restuarant,2.359,48.872
1864,Indian / Middle Eastern restaurant,2.359,48.873
1865,Traditional French restaurant,2.325,48.849
1866,Traditional French restaurant,2.339,48.871
1867,Asian restaurant,2.342,48.872
1868,Traditional French restaurant,2.342,48.87
1869,European restuarant,2.342,48.87
1870,Traditional French restaurant,2.341,48.87
1871,Traditional French restaurant,2.343,48.868
1872,European restuarant,2.344,48.869
1873,Traditional French restaurant,2.363,48.865
1874,Traditional French restaurant,2.362,48.867
1875,European restuarant,2.366,48.862
1876,European restuarant,2.365,48.862
1877,European restuarant,2.367,48.859
1878,European restuarant,2.354,48.861
1879,Traditional French restaurant,2.33,48.842
1880,Traditional French restaurant,2.326,48.841
1881,Maghrebian restaurant,2.343,48.828
1882,European restuarant,2.343,48.828
1883,Traditional French restaurant,2.351,48.828
1884,European restuarant,2.351,48.829
1885,Indian / Middle Eastern restaurant,2.354,48.83
1886,Asian restaurant,2.352,48.83
1887,Traditional French restaurant,2.352,48.83
1888,Indian / Middle Eastern restaurant,2.351,48.83
1889,Traditional French restaurant,2.361,48.853
1890,Traditional French restaurant,2.36,48.855
1891,Traditional French restaurant,2.355,48.857
1892,Traditional French restaurant,2.359,48.857
1893,Traditional French restaurant,2.361,48.853
1894,European restuarant,2.367,48.852
1895,Traditional French restaurant,2.323,48.844
1896,Traditional French restaurant,2.321,48.847
1897,Traditional French restaurant,2.338,48.849
1898,European restuarant,2.338,48.851
1899,Traditional French restaurant,2.338,48.852
1900,Traditional French restaurant,2.336,48.852
1901,Asian restaurant,2.336,48.853
1902,Traditional French restaurant,2.335,48.852
1903,Traditional French restaurant,2.335,48.852
1904,Asian restaurant,2.346,48.866
1905,Indian / Middle Eastern restaurant,2.346,48.866
1906,Other world restaurant,2.345,48.866
1907,European restuarant,2.346,48.867
1908,Asian restaurant,2.336,48.866
1909,Asian restaurant,2.337,48.866
1910,Asian restaurant,2.335,48.866
1911,Traditional French restaurant,2.333,48.865
1912,Other world restaurant,2.347,48.869
1913,European restuarant,2.348,48.869
1914,European restuarant,2.356,48.86
1915,European restuarant,2.353,48.859
1916,Asian restaurant,2.349,48.859
1917,European restuarant,2.35,48.859
1918,Asian restaurant,2.35,48.859
1919,European restuarant,2.351,48.86
1920,Asian restaurant,2.351,48.859
1921,European restuarant,2.352,48.858
1922,Traditional French restaurant,2.35,48.859
1923,Traditional French restaurant,2.35,48.857
1924,Asian restaurant,2.354,48.855
1925,Traditional French restaurant,2.355,48.855
1926,Traditional French restaurant,2.355,48.855
1927,Traditional French restaurant,2.354,48.833
1928,Asian restaurant,2.354,48.833
1929,Traditional French restaurant,2.348,48.835
1930,Traditional French restaurant,2.354,48.847
1931,Traditional French restaurant,2.363,48.843
1932,Asian restaurant,2.357,48.84
1933,Traditional French restaurant,2.356,48.84
1934,Traditional French restaurant,2.364,48.855
1935,Traditional French restaurant,2.358,48.852
1936,Traditional French restaurant,2.357,48.852
1937,European restuarant,2.356,48.852
1938,Traditional French restaurant,2.355,48.852
1939,Traditional French restaurant,2.354,48.853
1940,Traditional French restaurant,2.334,48.852
1941,Traditional French restaurant,2.335,48.852
1942,Traditional French restaurant,2.334,48.852
1943,Traditional French restaurant,2.334,48.852
1944,Traditional French restaurant,2.338,48.843
1945,Traditional French restaurant,2.335,48.842
1946,Traditional French restaurant,2.332,48.847
1947,Asian restaurant,2.329,48.848
1948,Traditional French restaurant,2.33,48.844
1949,Traditional French restaurant,2.333,48.844
1950,Traditional French restaurant,2.331,48.842
1951,Traditional French restaurant,2.331,48.842
1952,European restuarant,2.348,48.87
1953,Indian / Middle Eastern restaurant,2.349,48.87
1954,Asian restaurant,2.35,48.878
1955,Traditional French restaurant,2.352,48.88
1956,Indian / Middle Eastern restaurant,2.347,48.867
1957,European restuarant,2.348,48.866
1958,European restuarant,2.349,48.866
1959,Asian restaurant,2.347,48.866
1960,Traditional French restaurant,2.348,48.865
1961,Traditional French restaurant,2.348,48.865
1962,Traditional French restaurant,2.348,48.865
1963,Traditional French restaurant,2.348,48.865
1964,Asian restaurant,2.348,48.865
1965,Maghrebian restaurant,2.348,48.865
1966,European restuarant,2.347,48.865
1967,Asian restaurant,2.347,48.865
1968,Traditional French restaurant,2.35,48.864
1969,Asian restaurant,2.349,48.865
1970,Asian restaurant,2.351,48.864
1971,Traditional French restaurant,2.35,48.865
1972,Traditional French restaurant,2.336,48.868
1973,Asian restaurant,2.337,48.867
1974,Indian / Middle Eastern restaurant,2.352,48.84
1975,Traditional French restaurant,2.353,48.839
1976,European restuarant,2.351,48.839
1977,Traditional French restaurant,2.352,48.838
1978,Asian restaurant,2.352,48.837
1979,Asian restaurant,2.351,48.838
1980,Asian restaurant,2.351,48.837
1981,Asian restaurant,2.362,48.867
1982,European restuarant,2.359,48.867
1983,Traditional French restaurant,2.36,48.866
1984,European restuarant,2.362,48.855
1985,Traditional French restaurant,2.363,48.855
1986,Traditional French restaurant,2.363,48.856
1987,Traditional French restaurant,2.363,48.856
1988,Traditional French restaurant,2.363,48.856
1989,Traditional French restaurant,2.358,48.859
1990,European restuarant,2.367,48.854
1991,Traditional French restaurant,2.368,48.854
1992,Traditional French restaurant,2.368,48.853
1993,Traditional French restaurant,2.33,48.847
1994,Traditional French restaurant,2.33,48.843
1995,Traditional French restaurant,2.33,48.844
1996,Traditional French restaurant,2.328,48.844
1997,Maghrebian restaurant,2.325,48.844
1998,Asian restaurant,2.325,48.844
1999,Traditional French restaurant,2.324,48.848
2000,European restuarant,2.35,48.84
2001,Central and South American restuarant,2.35,48.84
2002,European restuarant,2.351,48.84
2003,Traditional French restaurant,2.35,48.842
2004,Central and South American restuarant,2.35,48.842
2005,Asian restaurant,2.349,48.844
2006,Traditional French restaurant,2.343,48.879
2007,Asian restaurant,2.346,48.881
2008,Traditional French restaurant,2.345,48.88
2009,Asian restaurant,2.337,48.868
2010,Asian restaurant,2.336,48.868
2011,Asian restaurant,2.337,48.869
2012,European restuarant,2.342,48.872
2013,Traditional French restaurant,2.342,48.872
2014,Indian / Middle Eastern restaurant,2.342,48.872
2015,Traditional French restaurant,2.344,48.868
2016,Other world restaurant,2.346,48.866
2017,Asian restaurant,2.347,48.865
2018,European restuarant,2.36,48.863
2019,European restuarant,2.364,48.861
2020,European restuarant,2.364,48.864
2021,Asian restaurant,2.335,48.84
2022,Traditional French restaurant,2.336,48.84
2023,Traditional French restaurant,2.331,48.842
2024,Caribbean restaurant,2.33,48.843
2025,Asian restaurant,2.33,48.843
2026,Traditional French restaurant,2.33,48.843
2027,Asian restaurant,2.33,48.843
2028,Asian restaurant,2.346,48.838
2029,Asian restaurant,2.337,48.84
2030,Traditional French restaurant,2.337,48.84
2031,Asian restaurant,2.341,48.842
2032,European restuarant,2.341,48.84
2033,Indian / Middle Eastern restaurant,2.341,48.84
2034,European restuarant,2.343,48.845
2035,European restuarant,2.35,48.843
2036,Traditional French restaurant,2.35,48.843
2037,Asian restaurant,2.349,48.843
2038,Indian / Middle Eastern restaurant,2.349,48.851
2039,Traditional French restaurant,2.349,48.851
2040,Indian / Middle Eastern restaurant,2.346,48.882
2041,European restuarant,2.346,48.882
2042,Asian restaurant,2.347,48.883
2043,Traditional French restaurant,2.347,48.881
2044,Traditional French restaurant,2.346,48.88
2045,European restuarant,2.347,48.88
2046,Asian restaurant,2.346,48.88
2047,Asian restaurant,2.347,48.879
2048,Traditional French restaurant,2.346,48.879
2049,Asian restaurant,2.343,48.877
2050,European restuarant,2.347,48.866
2051,Other world restaurant,2.346,48.866
2052,Traditional French restaurant,2.346,48.867
2053,European restuarant,2.345,48.867
2054,Indian / Middle Eastern restaurant,2.349,48.87
