,type,lon,lat
785,Traditional French restaurant,2.301,48.871
786,Traditional French restaurant,2.301,48.877
787,European restuarant,2.302,48.878
788,Traditional French restaurant,2.304,48.875
789,Asian restaurant,2.305,48.875
790,Traditional French restaurant,2.304,48.875
791,Asian restaurant,2.3,48.873
792,Indian / Middle Eastern restaurant,2.3,48.873
793,Asian restaurant,2.303,48.873
794,Asian restaurant,2.294,48.844
795,Traditional French restaurant,2.295,48.844
796,Asian restaurant,2.278,48.838
797,Traditional French restaurant,2.278,48.837
798,Asian restaurant,2.283,48.843
799,Traditional French restaurant,2.33,48.843
800,Traditional French restaurant,2.33,48.843
801,Traditional French restaurant,2.33,48.844
802,Indian / Middle Eastern restaurant,2.33,48.844
803,Traditional French restaurant,2.329,48.842
804,Traditional French restaurant,2.329,48.843
805,European restuarant,2.329,48.844
806,Traditional French restaurant,2.329,48.844
807,European restuarant,2.335,48.84
808,European restuarant,2.33,48.843
809,Asian restaurant,2.381,48.866
810,Maghrebian restaurant,2.383,48.866
811,African restaurant,2.381,48.852
812,Maghrebian restaurant,2.4,48.848
813,Traditional French restaurant,2.335,48.886
814,Traditional French restaurant,2.335,48.885
815,Maghrebian restaurant,2.335,48.885
816,Caribbean restaurant,2.336,48.885
817,Traditional French restaurant,2.336,48.885
818,European restuarant,2.331,48.884
819,European restuarant,2.361,48.872
820,European restuarant,2.362,48.874
821,Traditional French restaurant,2.348,48.871
822,European restuarant,2.303,48.872
823,Asian restaurant,2.318,48.874
824,Asian restaurant,2.318,48.874
825,Asian restaurant,2.322,48.876
826,Asian restaurant,2.318,48.881
827,European restuarant,2.32,48.88
828,Traditional French restaurant,2.288,48.845
829,Asian restaurant,2.285,48.846
830,Asian restaurant,2.285,48.844
831,Asian restaurant,2.285,48.843
832,Asian restaurant,2.284,48.844
833,Traditional French restaurant,2.278,48.843
834,Traditional French restaurant,2.278,48.842
835,Traditional French restaurant,2.28,48.843
836,Traditional French restaurant,2.284,48.845
837,Asian restaurant,2.285,48.85
838,European restuarant,2.37,48.865
839,Asian restaurant,2.369,48.865
840,Traditional French restaurant,2.367,48.866
841,Asian restaurant,2.365,48.868
842,Asian restaurant,2.365,48.868
843,European restuarant,2.365,48.868
844,Traditional French restaurant,2.366,48.868
845,European restuarant,2.366,48.866
846,Central and South American restuarant,2.367,48.864
847,Asian restaurant,2.367,48.864
848,European restuarant,2.369,48.863
849,Asian restaurant,2.338,48.883
850,Traditional French restaurant,2.334,48.89
851,Asian restaurant,2.335,48.885
852,Asian restaurant,2.337,48.894
853,European restuarant,2.339,48.884
854,Maghrebian restaurant,2.341,48.884
855,European restuarant,2.34,48.887
856,European restuarant,2.34,48.887
857,Traditional French restaurant,2.34,48.887
858,Traditional French restaurant,2.338,48.854
859,Traditional French restaurant,2.338,48.854
860,Traditional French restaurant,2.338,48.853
861,European restuarant,2.338,48.854
862,Asian restaurant,2.338,48.853
863,Traditional French restaurant,2.338,48.853
864,Indian / Middle Eastern restaurant,2.338,48.853
865,Traditional French restaurant,2.339,48.854
866,Traditional French restaurant,2.341,48.853
867,European restuarant,2.337,48.856
868,European restuarant,2.342,48.85
869,Traditional French restaurant,2.342,48.85
870,Asian restaurant,2.34,48.85
871,Asian restaurant,2.324,48.88
872,Asian restaurant,2.324,48.881
873,European restuarant,2.324,48.882
874,European restuarant,2.33,48.877
875,Traditional French restaurant,2.328,48.881
876,Asian restaurant,2.297,48.844
877,Traditional French restaurant,2.291,48.884
878,Traditional French restaurant,2.291,48.885
879,Asian restaurant,2.294,48.883
880,Traditional French restaurant,2.293,48.882
881,Traditional French restaurant,2.296,48.883
882,European restuarant,2.294,48.881
883,Maghrebian restaurant,2.381,48.868
884,Maghrebian restaurant,2.381,48.868
885,African restaurant,2.375,48.864
886,Asian restaurant,2.375,48.865
887,Indian / Middle Eastern restaurant,2.379,48.863
888,Asian restaurant,2.38,48.863
889,Caribbean restaurant,2.368,48.858
890,Traditional French restaurant,2.369,48.857
891,European restuarant,2.368,48.858
892,Asian restaurant,2.37,48.861
893,Asian restaurant,2.372,48.862
894,Traditional French restaurant,2.342,48.889
895,European restuarant,2.344,48.889
896,European restuarant,2.341,48.885
897,Traditional French restaurant,2.339,48.89
898,Traditional French restaurant,2.339,48.891
899,Indian / Middle Eastern restaurant,2.332,48.889
900,Traditional French restaurant,2.333,48.887
901,Traditional French restaurant,2.339,48.85
902,Traditional French restaurant,2.339,48.852
903,European restuarant,2.337,48.852
904,Traditional French restaurant,2.336,48.852
905,Traditional French restaurant,2.337,48.853
906,Asian restaurant,2.336,48.853
907,European restuarant,2.335,48.852
908,European restuarant,2.334,48.852
909,Traditional French restaurant,2.334,48.852
910,Traditional French restaurant,2.334,48.852
911,Traditional French restaurant,2.335,48.85
912,European restuarant,2.328,48.884
913,European restuarant,2.318,48.873
914,European restuarant,2.317,48.874
915,Traditional French restaurant,2.314,48.872
916,Indian / Middle Eastern restaurant,2.313,48.875
917,Indian / Middle Eastern restaurant,2.313,48.881
918,European restuarant,2.315,48.877
919,European restuarant,2.314,48.877
920,Asian restaurant,2.315,48.877
921,European restuarant,2.317,48.876
922,Traditional French restaurant,2.318,48.876
923,Traditional French restaurant,2.292,48.881
924,Traditional French restaurant,2.292,48.879
925,European restuarant,2.298,48.879
926,Asian restaurant,2.296,48.879
927,Traditional French restaurant,2.291,48.865
928,Asian restaurant,2.289,48.865
929,Traditional French restaurant,2.296,48.864
930,European restuarant,2.299,48.867
931,Indian / Middle Eastern restaurant,2.299,48.867
932,Asian restaurant,2.298,48.869
933,European restuarant,2.369,48.858
934,Traditional French restaurant,2.371,48.855
935,Indian / Middle Eastern restaurant,2.373,48.857
936,Other world restaurant,2.38,48.861
937,Asian restaurant,2.379,48.861
938,Traditional French restaurant,2.34,48.888
939,Asian restaurant,2.335,48.889
940,Traditional French restaurant,2.335,48.888
941,European restuarant,2.335,48.888
942,European restuarant,2.338,48.887
943,Traditional French restaurant,2.337,48.886
944,Traditional French restaurant,2.336,48.887
945,European restuarant,2.327,48.892
